Entidade;Classe
FAZENDA ALVORADA;Campo
FAZENDA AZEVEDO;Campo
FAZENDA AZEVEDO OESTE;Campo
FAZENDA BALSAMO;Campo
FAZENDA BELEM (REC);Campo
FAZENDA BOA ESPERANCA;Campo
FAZENDA FLORESTA;Campo
FAZENDA GAMELEIRA;Campo
FAZENDA IMBE;Campo
FAZENDA MAMOEIRO;Campo
FAZENDA ONCA;Campo
FAZENDA PANELAS;Campo
FAZENDA PIMENTEIRA;Campo
FAZENDA RIO BRANCO;Campo
FAZENDA SANTO ESTEVAO;Campo
FAZENDA SAO PAULO;Campo
FAZENDA SORI;Campo
GAMBOA;Campo
GOMO;Campo
GUANAMBI;Campo
GURIATA;Campo
GURIATA SUL;Campo
ILHA DE BIMBARRA;Campo
ITAPARICA;Campo
JACARANDA;Campo
JACUIPE;Campo
JACUMIRIM;Campo
JANDAIA;Campo
JANDAIA SUL;Campo
LAGOA DO PAULO;Campo
LAGOA DO PAULO NORTE;Campo
LAGOA DO PAULO SUL;Campo
LAGOA VERDE;Campo
LAMARAO;Campo
LEODORIO;Campo
LOBATO;Campo
MALOMBE;Campo
MANDACARU;Campo
MAPELE;Campo
MASSAPE;Campo
MASSUI;Campo
MATA DE SAO JOAO;Campo
MIRANGA;Campo
MIRANGA LESTE;Campo
MIRANGA NORTE;Campo
MIRANGA OESTE;Campo
NORTE DE FAZENDA CARUACU;Campo
PARAMIRIM DO VENCIMENTO;Campo
PARIRI;Campo
PEDRINHAS;Campo
PITANGA;Campo
POJUCA;Campo
POJUCA NORTE;Campo
QUIAMBINA;Campo
REMANSO;Campo
RIACHO DA BARRA;Campo
RIACHO DE SAO PEDRO;Campo
RIACHO OURICURI;Campo
RIACHO QUIRICO;Campo
RIACHO SESMARIA;Campo
RIO DA SERRA;Campo
RIO DO BU;Campo
RIO DOS OVOS;Campo
RIO ITARIRI;Campo
RIO JOANES;Campo
RIO PIPIRI;Campo
RIO POJUCA;Campo
RIO SAUIPE;Campo
RIO SUBAUMA;Campo
RIO UNA;Campo
SANTANA;Campo
SAO DOMINGOS;Campo
SAO PEDRO;Campo
SAUIPE;Campo
SESMARIA;Campo
SETE GALHOS;Campo
SOCORRO;Campo
SOCORRO EXTENSAO;Campo
SOCORRO EXTENSAO NORTE;Campo
SUSSUARANA;Campo
TANGARA;Campo
TAPIRANGA;Campo
TAPIRANGA NORTE;Campo
TAQUIPE;Campo
VALE DO QUIRICO;Campo
1BRSA502BA;Campo
1BRSA568DBA;Campo
ANC NORTE ATAPU;Campo
ANC TUPI LESTE;Campo
AREA DE LIBRA;Campo
AREA DO BRSA-1267;Campo
AREA DO BSS-69;Campo
AREA DO BSS-70;Campo
AREA DO BSS-75;Campo
AREA DO BS-400;Campo
AREA DO BS-500;Campo
AREA DO RJS-539;Campo
AREA DO 2-ANP-2A-RJS;Campo
ATAPU;Campo
ATLANTA;Campo
AZULAO;Campo
BAUNA;Campo
BAUNA SUL;Campo
BERBIGAO;Campo
BUZIOS;Campo
CARAPIA;Campo
CARAVELA;Campo
CARAVELA SUL;Campo
CAVALO MARINHO;Campo
CEDRO;Campo
CERNAMBI;Campo
CORAL;Campo
ESTRELA DO MAR;Campo
GUAIAMA;Campo
ITAPU;Campo
LAGOSTA;Campo
LAPA;Campo
MERLUZA;Campo
MERO;Campo
MEXILHAO;Campo
NORDESTE DE SAPINHOA;Campo
NOROESTE DE SAPINHOA;Campo
NORTE DE BERBIGAO;Campo
NORTE DE SURURU;Campo
OESTE DE ATAPU;Campo
OLIVA;Campo
PIRACABA;Campo
PIRACUCA;Campo
PIRAPITANGA;Campo
SAPINHOA;Campo
SAPINHOA AREA DA UNIAO;Campo
SEPIA;Campo
SEPIA LESTE;Campo
SUDOESTE DE SAPINHOA;Campo
SUL DE BERBIGAO;Campo
SUL DE SAPINHOA;Campo
SUL DE SURURU;Campo
SUL DE TUPI;Campo
SURURU;Campo
TAMBAU;Campo
TAMBUATA;Campo
TUBARAO;Campo
TUPI;Campo
URUGUA;Campo
1BRSA329DRJS;Campo
1BRSA526SPS;Campo
1BRSA532ASPS;Campo
1BRSA559ARJS;Campo
AREA DO SES-100;Campo
AREA DO SES-106;Campo
AREA DO SES-2;Campo
AREA DO SES-29;Campo
AREA DO SES-30;Campo
AREA DO SES-52;Campo
AREA DO SES-54;Campo
AREA DO SES-70;Campo
AREA DO SES-79;Campo
AREA DO SES-86B;Campo
AREA DO SES-91;Campo
AREA DO SES-92;Campo
CAIOBA;Campo
CAMORIM;Campo
DOURADO;Campo
GUARICEMA;Campo
PIRANEMA;Campo
PIRANEMA SUL;Campo
ROBALO;Campo
SALGO;Campo
TAINHA;Campo
TARTARUGA;Campo
TATUI;Campo
1BRSA1022SES;Campo
1BRSA1083SES;Campo
1BRSA1088SES;Campo
1BRSA1104SES;Campo
1BRSA1108SES;Campo
1BRSA851SES;Campo
ARARA AZUL;Campo
ARARACANGA;Campo
CARAPANAUBA;Campo
CUPIUBA;Campo
IGARAPE IPOCA;Campo
IGARAPE PUCA;Campo
IPIXUNA;Campo
JATOBA;Campo
JURUA;Campo
LESTE DO URUCU;Campo
NASCENTE DO MARIMARI;Campo
NORDESTE DE JURUA;Campo
RIO BIA;Campo
RIO BUANA BRANCO;Campo
RIO COPACA;Campo
RIO URUCU;Campo
SERNAMBI;Campo
SUDOESTE DE JURUA;Campo
SUDOESTE DE URUCU;Campo
TAQUARE;Campo
1BRSA769AM;Campo
CONCEICAO;Campo
CURRAL DE FORA;Campo
FAZENDA CAJUBA;Campo
FAZENDA MATINHA;Campo
FAZENDA SANTA ROSA;Campo
IRAI;Campo
LAGOA BRANCA;Campo
QUERERA;Campo
SEMPRE VIVA;Campo
SUBAUMA MIRIM;Campo
AGLOMERADO VULCÂNICO;Litologia
ANDESITO;Litologia
ANIDRITA;Litologia
ARDOSIA;Litologia
AREIA;Litologia
ARENITO;Litologia
ARENITO ARGILOSO;Litologia
ARENITO BIOTURBADO;Litologia
ARENITO CARBONATICO;Litologia
ARENITO CONGLOMERATICO;Litologia
ARENITO FOSFATICO;Litologia
ARENITO TOBACEO;Litologia
ARGILA;Litologia
ARGILITO;Litologia
ARGILITO ARENOSO;Litologia
ARGILITO CARBONATICO;Litologia
ARGILITO CARBONOSO;Litologia
ARGILITO SILTICO;Litologia
ARGILITO TOBACEO;Litologia
BAFFLESTONE;Litologia
BASALTO;Litologia
BINDSTONE;Litologia
BIOACUMULADO;Litologia
BIOLITITO;Litologia
BOUNDSTONE;Litologia
BOUNDSTONE ARBORESCENTE;Litologia
BOUNDSTONE LAMINADO;Litologia
BRECHA;Litologia
BRECHA CARBONATICA;Litologia
BRECHA VULCANICA;Litologia
CALCARENITO;Litologia
CALCARIO;Litologia
CALCARIO CRISTALINO;Litologia
CALCILUTITO;Litologia
CALCIRUDITO;Litologia
CALCISSILTITO;Litologia
CARNALITA;Litologia
CARVAO;Litologia
CHERT;Litologia
CINZA VULCANICA;Litologia
CONGLOMERADO;Litologia
COQUINA;Litologia
DACITO;Litologia
DENDROLITO;Litologia
DIABASIO;Litologia
DIAMICTITO;Litologia
DIORITO;Litologia
DOLOMITO;Litologia
ESFERULITITO;Litologia
ESTROMATOLITO;Litologia
ESTROMATOLITO ARBORESCENTE;Litologia
ESTROMATOLITO ARBUSTIFORME;Litologia
ESTROMATOLITO DENDRIFORME;Litologia
FILITO;Litologia
FLOATSTONE;Litologia
FOLHELHO;Litologia
FOLHELHO SILTICO;Litologia
FONOLITO;Litologia
FOSFORITA;Litologia
FRAMESTONE;Litologia
GABRO;Litologia
GIPSITA;Litologia
GNAISSE;Litologia
GRAINSTONE;Litologia
GRANITO;Litologia
GRANODIORITO;Litologia
HALITA;Litologia
HIALOCLASTICO;Litologia
IGNEA;Litologia
IGNIMBRITO;Litologia
LAMINITO;Litologia
LAMINITO CRENULADO;Litologia
LAMINITO LISO;Litologia
LAMITO;Litologia
LAPILLI;Litologia
LEIOLITO;Litologia
LINHITO;Litologia
MARGA;Litologia
MARMORE;Litologia
MARMORE DOLOMITICO;Litologia
META-ARENITO;Litologia
METAMORFICA;Litologia
METASSEDIMENTO;Litologia
METASSILTITO;Litologia
MUDSTONE;Litologia
ORTOCONGLOMERADO;Litologia
PACKSTONE;Litologia
PLUTONICA;Litologia
QUARTZITO;Litologia
RIOLITO;Litologia
ROCHA MAFICA;Litologia
ROCHA ULTRA MAFICA;Litologia
ROCHA VULCANOCLASTICA;Litologia
RUDSTONE;Litologia
SAL;Litologia
SIDERITA;Litologia
SIENITO;Litologia
SILEXITO;Litologia
SILTITO;Litologia
SILVINITA;Litologia
TALCOESTIVENCITA;Litologia
TAQUIDRITA;Litologia
TILITO;Litologia
TRAQUITO;Litologia
TRAVERTINO;Litologia
TROMBOLITO;Litologia
TUFO VULCANICO;Litologia
ULTRABASICA;Litologia
VULCANICA;Litologia
WACKESTONE;Litologia
XISTO;Litologia
Fanerozoico;Unidade_Cronoestratigrafica
Cenozoico;Unidade_Cronoestratigrafica
Quaternário;Unidade_Cronoestratigrafica
Holoceno;Unidade_Cronoestratigrafica
Pleistoceno;Unidade_Cronoestratigrafica
Pleistoceno Superior;Unidade_Cronoestratigrafica
Tarantiano;Unidade_Cronoestratigrafica
Pleistoceno Médio;Unidade_Cronoestratigrafica
Ioniano;Unidade_Cronoestratigrafica
Pleistoceno Inferior;Unidade_Cronoestratigrafica
Calabriano;Unidade_Cronoestratigrafica
Gelasiano;Unidade_Cronoestratigrafica
Neogeno;Unidade_Cronoestratigrafica
Plioceno;Unidade_Cronoestratigrafica
Plioceno Superior;Unidade_Cronoestratigrafica
Piacenziano;Unidade_Cronoestratigrafica
Plioceno Inferior;Unidade_Cronoestratigrafica
Zancleano;Unidade_Cronoestratigrafica
Mioceno;Unidade_Cronoestratigrafica
Mioceno Superior;Unidade_Cronoestratigrafica
Messiniano;Unidade_Cronoestratigrafica
Tortoniano;Unidade_Cronoestratigrafica
Mioceno Médio;Unidade_Cronoestratigrafica
Serravalliano;Unidade_Cronoestratigrafica
Langhiano;Unidade_Cronoestratigrafica
Mioceno Inferior;Unidade_Cronoestratigrafica
Burdigaliano;Unidade_Cronoestratigrafica
Aquitaniano;Unidade_Cronoestratigrafica
Paleogeno;Unidade_Cronoestratigrafica
Oligoceno;Unidade_Cronoestratigrafica
Oligoceno Superior;Unidade_Cronoestratigrafica
Chattiano;Unidade_Cronoestratigrafica
Oligoceno Inferior;Unidade_Cronoestratigrafica
Rupeliano;Unidade_Cronoestratigrafica
Eoceno;Unidade_Cronoestratigrafica
Eoceno Superior;Unidade_Cronoestratigrafica
Priaboniano;Unidade_Cronoestratigrafica
Eoceno Médio;Unidade_Cronoestratigrafica
Bartoniano;Unidade_Cronoestratigrafica
Lutetiano;Unidade_Cronoestratigrafica
Eoceno Inferior;Unidade_Cronoestratigrafica
Ypresiano;Unidade_Cronoestratigrafica
Paleoceno;Unidade_Cronoestratigrafica
Paleoceno Superior;Unidade_Cronoestratigrafica
Thanetiano;Unidade_Cronoestratigrafica
Paleoceno Médio;Unidade_Cronoestratigrafica
